nr	length	ratio
544	57533	2.48029833
545	57671	2.48079322
546	57727	2.48138755
547	57825	2.48197270
548	57858	2.48221717
549	57996	2.48366237
550	58212	2.48334115
551	58316	2.48396303
552	58423	2.48449926
553	58613	2.48539202
554	58683	2.48593578
555	58714	2.48609053
556	58864	2.48371308
557	59032	2.48482553
558	59233	2.48502265
559	59293	2.48493357
560	59338	2.48494493
561	59425	2.48515390
562	59486	2.48562594
563	59625	2.48675814
564	59752	2.48759367
565	59768	2.48753486
566	59895	2.48754049
567	59933	2.48736252
568	59980	2.48683610
569	60051	2.48720179
570	60157	2.48757392
571	60247	2.48779783
572	60363	2.48878535
573	60474	2.49038422
574	60579	2.49132259
575	60663	2.49241957
576	60789	2.49339623
577	60960	2.49467998
578	61056	2.49452525
579	61329	2.49639761
580	61456	2.49750071
581	61576	2.49851897
582	61728	2.49981776
583	61843	2.50062674
584	61994	2.50127093
585	62066	2.50135010
586	62185	2.50191108
587	62337	2.50299137
588	62391	2.50304903
589	62529	2.50286195
590	62602	2.50287862
591	62696	2.50363390
592	62867	2.50496075
593	62957	2.50615023
594	63010	2.50646406
595	63134	2.50770575
596	63238	2.50735498
597	63352	2.50710357
598	63392	2.50709907
599	63455	2.50681468
600	63640	2.50659735
601	63715	2.50658956
602	63855	2.50746093
603	63912	2.50723785
604	64028	2.50746035
605	64126	2.50717441
606	64176	2.50765864
607	64303	2.50781951
608	64364	2.50824208
609	64435	2.50788152
610	64574	2.50899483
611	64716	2.50924741
612	64798	2.50950776
613	64908	2.50929756
614	65076	2.51084189
615	65179	2.51210206
616	65297	2.51229272
617	65504	2.51300545
618	65585	2.51216149
619	65694	2.51239101
620	65852	2.51257202
621	66049	2.51213297
622	66270	2.51298775
623	66369	2.51359642
624	66457	2.51397768
625	66536	2.51401799
626	66617	2.51432346
627	66702	2.51335770
628	66769	2.51398773
629	66900	2.51447042
630	67035	2.51481843
631	67120	2.51451691
632	67176	2.51444827
633	67362	2.51444569
634	67462	2.51536167
635	67556	2.51549002
636	67696	2.51639283
637	67794	2.51666790
638	67922	2.51749444
639	68131	2.51982395
640	68288	2.52059649
641	68356	2.52226855
642	68446	2.52307579
643	68568	2.52385159
644	68718	2.52556140
645	68820	2.52615351
646	68962	2.52672847
647	69062	2.52835438
648	69175	2.52878816
649	69270	2.53013368
650	69455	2.53143565
651	69679	2.53267665
652	69861	2.53183778
653	69900	2.53132469
654	70054	2.53167576
655	70230	2.53400686
656	70404	2.53270019
657	70571	2.53169507
658	70801	2.53104780
659	70850	2.53108031
660	70901	2.53091311
661	70949	2.53081972
